jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,ts_5,tot_5,statistics_url,game_url
11,WONG Ka Ho,HKG,False,D,1,0,1,0,3,-5.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
12,KAN Siu Him,HKG,False,F,0,0,0,2,2,-3.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
15,YEUNG Chun Ying,HKG,False,D,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
5,SHAM Alvin Cheuk Him,HKG,False,F,0,0,0,0,1,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
9,AU-YEUNG Lennon Lok Lam,HKG,False,F,0,0,0,0,1,-4.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
19,LAM Chi Kin,HKG,False,D,0,0,0,0,1,-5.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
21,LEE Ryan Yuen Chong,HKG,False,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
23,TANG Shin Ming Jasper,HKG,False,F,0,1,1,2,2,-4.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
4,CHAU Chi Lok,HKG,False,F,0,0,0,0,1,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
8,WONG Yin Lok Lokel,HKG,False,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
17,LAU Chi Lok,HKG,False,F,0,0,0,0,0,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
18,FUNG Bun Yu Bernard,HKG,False,D,0,0,0,0,1,-3.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
24,MAK Jonas Hanley,HKG,False,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
7,KAN Chun Keung,HKG,False,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
10,WONG Jonathan Laurence,HKG,False,F,0,0,0,0,1,-2.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
1,CHEUNG Ching Ho,HKG,False,GK,0,0,0,0,0,,,,,0,,0,,0,,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
20,KEUNG Emerson Kwokway,HKG,False,GK,0,0,0,0,0,,,,,0,,0,,0,,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
