jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url,ts_5,tot_5
12,GIMENEZ Pablo,ESP,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
23,SARASA Sergio,ESP,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
1,SERNA Lucas,ESP,True,GK,0,0,0,0,0,,,,,0,,0,,0,,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
25,BARBO Raul,ESP,True,GK,0,0,0,0,0,,,,,0,,0,,0,,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
5,SLESSAREVSKI Ed,EST,False,D,0,1,1,0,4,0.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
14,SVARTBRO Emil Esko Key,EST,False,F,0,0,0,25,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
19,ALEKSANDROV Artemi,EST,False,F,0,0,0,0,4,0.0,0:00,0.0,0:00,3,0:00,0,0:00,1,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
23,ANUFRIJEV Artjom,EST,False,D,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
27,HAST Fabian,EST,False,F,0,1,1,2,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
6,JOGI Kristofer,EST,False,F,0,1,1,4,3,-1.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
7,NOVIKOV Saveli,EST,False,D,0,1,1,0,4,0.0,0:00,0.0,0:00,2,0:00,2,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
9,KIIK Rasmus,EST,False,F,0,0,0,0,2,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
15,SAVENKOV Dilan,EST,False,D,0,0,0,2,1,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
17,JURGENS Morten Arantez,EST,False,F,1,0,1,2,4,0.0,0:00,0.0,0:00,2,0:00,2,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
2,LAOSMA Hendrik Paul,EST,False,D,0,0,0,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
10,KUZNETSOV Dmitri,EST,False,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
